name	album_name	release_date	popularity	duration	danceability
State Of Grace (Taylor's Version)	Red (Taylor's Version)	2021-11-12	71	295413	0.594
Red (Taylor's Version)	Red (Taylor's Version)	2021-11-12	77	223093	0.516
Treacherous (Taylor's Version)	Red (Taylor's Version)	2021-11-12	71	242720	0.645
I Knew You Were Trouble (Taylor's Version)	Red (Taylor's Version)	2021-11-12	74	219760	0.584
All Too Well (Taylor's Version)	Red (Taylor's Version)	2021-11-12	76	329160	0.44
22 (Taylor's Version)	Red (Taylor's Version)	2021-11-12	73	230960	0.642
I Almost Do (Taylor's Version)	Red (Taylor's Version)	2021-11-12	69	244586	0.511
We Are Never Ever Getting Back Together (Taylor's Version)	Red (Taylor's Version)	2021-11-12	74	193146	0.567
Stay Stay Stay (Taylor's Version)	Red (Taylor's Version)	2021-11-12	69	205786	0.693
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)	Red (Taylor's Version)	2021-11-12	70	299080	0.502
Holy Ground (Taylor's Version)	Red (Taylor's Version)	2021-11-12	68	202960	0.622
Sad Beautiful Tragic (Taylor's Version)	Red (Taylor's Version)	2021-11-12	70	284773	0.601
The Lucky One (Taylor's Version)	Red (Taylor's Version)	2021-11-12	68	240466	0.686
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)	Red (Taylor's Version)	2021-11-12	72	245426	0.498
Starlight (Taylor's Version)	Red (Taylor's Version)	2021-11-12	67	220413	0.628
Begin Again (Taylor's Version)	Red (Taylor's Version)	2021-11-12	70	238866	0.519
The Moment I Knew (Taylor's Version)	Red (Taylor's Version)	2021-11-12	67	285280	0.636
Come Back...Be Here (Taylor's Version)	Red (Taylor's Version)	2021-11-12	71	223333	0.46
Girl At Home (Taylor's Version)	Red (Taylor's Version)	2021-11-12	65	220520	0.691
State Of Grace (Acoustic Version) (Taylor's Version)	Red (Taylor's Version)	2021-11-12	65	321640	0.445
Ronan (Taylor's Version)	Red (Taylor's Version)	2021-11-12	62	264253	0.623
Better Man (Taylor's Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	71	297013	0.473
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	76	258812	0.606
